id,observed_on,latitude,longitude,place_state_name,place_country_name
3707809,2016-07-19,39.2634859395,-77.3898106809,Maryland,United States
3730291,2016-06-11,39.826605,-77.3303183333,Pennsylvania,United States
3756708,2016-07-27,35.7306872986,-79.1102122888,North Carolina,United States
3769636,2016-07-29,39.1855264,-76.85031115,Maryland,United States
3770382,2016-06-09,39.6336483333,-77.4489566667,Maryland,United States
3771682,2016-06-17,35.9551183333,-83.8660833333,Tennessee,United States
3772019,2016-06-20,35.5430866667,-82.7583983333,North Carolina,United States
3785399,2016-07-30,38.6795283333,-77.2720333333,Virginia,United States
3797920,2016-08-03,36.1316723563,-84.4968732075,Tennessee,United States
3799217,2016-07-30,41.7386116667,-81.0561388333,Ohio,United States
3799450,2016-08-03,36.1318308162,-84.4987430424,Tennessee,United States
3803823,2016-08-04,38.7566928193,-77.4440566544,Virginia,United States
3805535,2016-08-04,37.7165171181,-89.2447006702,Illinois,United States
3817984,2016-08-06,41.8904896192,-80.6551839003,Ohio,United States
3833853,2016-08-08,35.9224478156,-79.0784210712,North Carolina,United States
3865215,2016-08-11,37.349365,-79.325855,Virginia,United States
3870532,2016-08-12,38.3747412684,-78.5728319642,Virginia,United States
3870927,2016-08-01,39.0488388333,-77.3108533333,Virginia,United States
3886073,2016-08-14,39.0044210572,-76.6705939081,Maryland,United States
3912800,2016-08-18,38.6665472222,-78.3708861111,Virginia,United States
3920484,2016-08-19,39.0599863697,-76.7249452696,Maryland,United States
3921257,2016-08-19,40.289605,-75.7877666667,Pennsylvania,United States
3932450,2016-08-21,38.4285903443,-78.8610459679,Virginia,United States
3936610,2016-08-21,39.0988278576,-76.5899666213,Maryland,United States
3941066,2016-08-22,41.175963,-73.60438849,New York,United States
3941101,2016-08-22,41.18237608,-73.59850966,New York,United States
3941125,2016-08-22,41.17848355,-73.60006178,New York,United States
3942952,2016-06-24,35.576235,-82.4957883333,North Carolina,United States
3961746,2016-08-24,41.3418749,-73.80393183,New York,United States
3973342,2016-08-27,40.1388194444,-75.3355166667,Pennsylvania,United States
3979490,2016-08-26,41.2702608225,-81.5596171337,Ohio,United States
3986427,2016-08-27,41.25361325,-73.68382908,New York,United States
3989441,2016-08-29,41.23271077,-73.53170577,New York,United States
3989466,2016-08-29,41.23214546,-73.53003672,New York,United States
3989472,2016-08-29,41.23201725,-73.530266,New York,United States
3989478,2016-08-29,41.23206723,-73.52983007,New York,United States
3989500,2016-08-29,41.23464771,-73.52899897,New York,United States
3996372,2016-08-30,41.22210917,-73.69943913,New York,United States
3996381,2016-08-30,41.2221122,-73.70016885,New York,United States
3996385,2016-08-30,41.22221867,-73.70037869,New York,United States
3996422,2016-08-30,41.22211485,-73.70078132,New York,United States
4019847,2016-09-02,41.29077104,-73.60759656,New York,United States
4019849,2016-09-02,41.29043782,-73.6075029,New York,United States
4019852,2016-09-02,41.2901764,-73.60700903,New York,United States
4019864,2016-09-02,41.29126841,-73.60677308,New York,United States
4039563,2016-09-04,41.1759794,-73.599553,New York,United States
