observed_on,latitude,longitude,place_state_name
2019-10-16,39.68976515,-75.64530338,Delaware
2019-08-04,41.410918,-73.937247,New York
2019-09-05,40.300893,-75.036277,Pennsylvania
2020-03-14,35.8783725523,-79.1861467055,North Carolina
2017-05-09,35.6644605501,-78.4572136348,North Carolina
2020-03-30,36.1176426797,-78.90348915,North Carolina
2020-04-15,38.7628050289,-77.1184762102,Virginia
2016-07-08,36.1968985359,-78.8960244652,North Carolina
2020-04-22,36.09826258,-79.88293542,North Carolina
2020-04-24,35.92854271,-78.96620301,North Carolina
2020-04-24,38.7590926174,-77.1703792158,Virginia
2020-04-25,35.874713243,-78.904333312,North Carolina
2020-04-25,35.819488,-78.306444,North Carolina
2020-04-25,36.13535,-79.1591805556,North Carolina
2020-04-26,35.6160182923,-79.160670072,North Carolina
2020-04-26,39.97983667,-75.44476333,Pennsylvania
2020-04-27,38.0213186687,-78.5285657541,Virginia
2020-04-27,38.1238842001,-78.4827911825,Virginia
2020-04-27,38.81687128,-76.9173733145,Maryland
2020-05-02,34.00886052,-84.31111654,Georgia
2020-05-03,38.3373023244,-77.1515607555,Virginia
2020-05-07,40.5854997458,-74.1366809607,New York
2020-05-10,36.0601581854,-79.150333945,North Carolina
2020-05-16,40.2452545,-74.694616,New Jersey
2020-05-18,34.8512172345,-87.5573166677,Alabama
2020-05-17,38.86842,-77.391455,Virginia
2020-05-20,36.4653134098,-94.1854689395,Arkansas
2020-05-20,40.3508460556,-74.6976173827,New Jersey
2020-05-22,33.8037193376,-84.3179175195,Georgia
2020-05-23,38.8054593606,-77.5265054126,Virginia
2020-05-23,33.7973594063,-84.3174798525,Georgia
2020-05-24,35.85182763,-78.61891152,North Carolina
2020-05-24,40.6074868517,-74.585472879,New Jersey
2020-05-24,35.7277554,-78.2084137,North Carolina
2020-05-24,35.7454068,-78.404166,North Carolina
2020-05-24,35.7700909,-78.5703509,North Carolina
2020-05-25,40.5093008083,-74.7264486667,New Jersey
2020-05-28,35.4110213197,-89.9401657039,Tennessee
2020-05-24,38.88665833,-77.36885,Virginia
2020-05-29,38.8159038825,-77.6742302534,Virginia
2020-05-29,38.8149348926,-77.6732185577,Virginia
2020-05-29,38.8156468515,-77.6724565589,Virginia
2020-05-30,32.18693,-90.32594167,Mississippi
2020-05-30,36.1927027778,-86.6562361111,Tennessee
2020-05-31,35.0204614504,-80.8562557586,North Carolina
2020-06-01,37.18893,-76.88079167,Virginia
2020-05-27,36.0601277778,-79.1171638889,North Carolina
2020-06-03,38.2986590686,-81.7529977766,West Virginia
2020-06-03,38.8258119626,-77.5465511531,Virginia
2020-06-03,38.8252762333,-77.5438172278,Virginia
2020-06-05,32.6181773,-85.5286244,Alabama
2020-06-05,35.991791274,-79.0466942266,North Carolina
2020-06-09,38.7599184326,-77.6005076043,Virginia
2020-06-07,39.2351,-76.00743888,Maryland
2020-06-10,35.7170326184,-83.4908001154,Tennessee
2020-06-06,40.6773957549,-74.4790144395,New Jersey
